site,lu_Corn_0200m,lu_Corn_0500m,lu_Corn_1000m,lu_Corn_2000m,lu_Corn_5000m,lu_Soybeans_0200m,lu_Soybeans_0500m,lu_Soybeans_1000m,lu_Soybeans_2000m,lu_Soybeans_5000m,lu_Alfalfa_0500m,lu_Alfalfa_1000m,lu_DevelopedOpenSpace_0100m,lu_DevelopedOpenSpace_0200m,lu_DevelopedOpenSpace_0500m,lu_DevelopedOpenSpace_1000m,lu_DevelopedOpenSpace_2000m,lu_DevelopedOpenSpace_5000m,lu_DevelopedLowIntensity_0050m,lu_DevelopedLowIntensity_0100m,lu_DevelopedLowIntensity_0200m,lu_DevelopedLowIntensity_0500m,lu_DevelopedLowIntensity_1000m,lu_DevelopedLowIntensity_2000m,lu_DevelopedLowIntensity_5000m,lu_DevelopedMedIntensity_0050m,lu_DevelopedMedIntensity_0100m,lu_DevelopedMedIntensity_0200m,lu_DevelopedMedIntensity_0500m,lu_DevelopedMedIntensity_1000m,lu_DevelopedMedIntensity_2000m,lu_DevelopedMedIntensity_5000m,lu_DevelopedHighIntensity_0050m,lu_DevelopedHighIntensity_0100m,lu_DevelopedHighIntensity_0200m,lu_DevelopedHighIntensity_0500m,lu_DevelopedHighIntensity_1000m,lu_DevelopedHighIntensity_2000m,lu_DevelopedHighIntensity_5000m,lu_DeciduousForest_0500m,lu_DeciduousForest_1000m,lu_DeciduousForest_2000m,lu_MixedForest_0500m,lu_GrassPasture_0200m,lu_GrassPasture_0500m,lu_GrassPasture_1000m,lu_GrassPasture_2000m,lu_GrassPasture_5000m,km_to_Corn,km_to_Soybeans,km_to_WinterWheat,km_to_DblCropWinWhtSoybeans,km_to_Oats,km_to_Alfalfa,km_to_OtherHayNonAlfalfa,km_to_SodGrassSeed,km_to_AnyCropland,km_to_FarmSmall,km_to_FarmLarge,km_to_FarmEnclosed,km_to_FarmOpen,ton_NH3_1000m,ton_NH3_2000m,ton_NH3_5000m,ton_NOx_1000m,ton_NOx_2000m,ton_NOx_5000m,ton_SO2_1000m,ton_SO2_2000m,ton_idw_NH3,ton_idw_NOx,ton_idw_SO2,km_to_NH3,km_to_NOx,km_to_SO2
L1,2.8380152483270003,2.1116782491009496,1.770612082833447,1.2530325971177556,1.4295451847189433,-0.3630085969984545,-0.2857586850932644,0.47827204300946236,0.870101433089239,0.6419271411798457,-0.5710902851084126,-0.2817275313632322,0.1789823241256687,0.831288366501985,-0.12193633544061211,-0.14355904645037187,0.8290169086397962,-0.5286886030790139,1.8905981401661225,0.9587646016612014,0.1351077652693434,-0.3315591057634156,-0.7029162754182068,-0.8517584602875518,-1.0791026826858738,-0.601035227529666,-0.6276077775281993,-0.6480815415133481,-0.6681037937605578,-0.8006887577876902,-0.9926498093326284,-1.2714950349317593,-0.9135899420979068,-0.9492505871037601,-0.9005236223855425,-0.831638675484038,-0.7872098041675779,-0.9968184932327641,-1.251901409022723,-0.2823060191493102,-0.3343614963747897,-0.021027754005355948,-0.02787889577754707,-0.527975636755353,-0.5331196858302752,-0.36171830478554357,-0.4397370123588984,2.0056797461443656,-1.071759679336608,-0.6126378702065163,0.46215390183720445,0.2905143068767862,0.44189617729617303,-0.41442139112306586,-0.6309790637847931,1.0469305632486754,-0.9136629710687184,0.8514389072405184,-1.504688666757333,-0.20303458597697283,0.9783292840800556,-0.4970773319236367,-1.1598024165163034,-0.3469019625866693,-0.5650581896471174,-1.1565954435915529,-0.47537055861923777,-0.4756591244437613,-1.161894413866241,-0.8060165389715584,-1.0880435270087607,-1.057354904647091,0.8871747156443937,0.9040992357552958,0.9040992357552958
L2,-0.23752652344157077,-0.4845705274376751,-0.13389838904455975,-0.4033107754591658,-0.18414513107405558,-0.11236931255081081,0.31427004665260655,0.09253697825620447,-0.23874812336369386,-0.10360104832681051,0.06472766537626652,-0.3411983216200283,-0.548535063306354,0.11059953301097346,0.8389064874057167,1.3938151384615447,1.1280672136900856,0.18116118307453172,-0.8102563462999296,-0.2466504589002877,0.1351077652693434,0.7367402416350053,0.4793974558293319,0.4297659802376873,0.1780523863860101,2.1628493919469856,1.5467042961761128,0.40444547433488737,-0.4094466146842441,-0.6135264856896173,-0.3982275108518725,0.17405450817700446,-0.9135899420979068,-0.7485424527084833,-0.5661888430331138,-0.5764225983947296,-0.7911854281228481,-0.5954205162508268,-0.16660364273881786,0.4626524358799889,0.35821791973305683,1.4812684667476095,0.49600582380379976,0.09504972363901501,-0.35615653263178987,0.4413712665658291,1.609427356381538,0.3736365980841038,-0.933828399644098,-0.8554838431439049,-0.4340076922925729,-0.41640255161149403,-1.161403010269947,-0.9096675898493108,-0.15555291678407462,-0.9596771010751466,-0.7631320314869285,-1.2907935213473638,-0.3677303674909273,-0.6969002378189414,-1.28591277870973,-0.4970773319236367,0.7032336603049728,-0.10489378393574653,-0.5650581896471174,0.6773308640476959,-0.1068935105114255,-0.4756591244437613,0.7736104138701236,-0.17641966422468852,-0.07250654312140209,0.0025797506884566615,0.06756397087957756,0.07406284807308551,0.07406284807308551
L3,-0.3530703046218014,-0.5109206765361621,-0.6098165059352161,-0.6385235363043986,-0.8451007265576423,-0.3630085969984545,-0.45780298599326563,-0.5909022436016687,-0.754907493997054,-0.8350359694969205,-0.5710902851084126,-0.5210748464572068,-0.548535063306354,-0.8226518989827674,-0.8249543852758328,-1.188633797795093,-1.128622615484286,0.7863146187982039,-0.8102563462999296,-0.7694810858851846,-1.0214344678186882,-1.3154762347633842,-0.6304561092198337,-0.10781472292259958,0.7204701917744771,0.9344562289635336,0.9503215554727429,0.734650030225167,1.464078291366696,1.590173234036794,1.3360640241323862,0.8771306701991106,0.39153854549470707,0.6564145089320995,2.0101556095531468,2.1317160965468553,1.7245966763327485,1.5517403945746233,1.3579844324717978,-0.42337808424139306,-0.4090699830391597,0.27879600429020596,-0.45325375682746116,-0.527975636755353,-0.5728433455249108,-0.8151173028312824,-1.0152221810807611,-0.7688985848578037,0.9677744383212054,1.5493166798115883,1.5670134760911443,1.67865703640699,1.8058869953059475,1.7999733888502463,1.8409731603641195,1.6238236475310803,1.3321557773778758,0.5316501955276773,-0.20624046880416785,0.6501174298997466,0.5076146207630765,-0.3086357696282014,0.8818979156817076,1.1006893393457293,0.30197765302947194,0.9431339499323186,1.1398042368210541,-0.46509874908789045,0.7764464641195788,-0.47669153849272866,-0.38481709143521603,-0.32164696044925895,-1.0011818189119457,-1.0082776414524344,-1.0082776414524344
S1,-0.3530703046218014,-0.5109206765361621,-0.38021742061013175,-0.3105936897864772,-0.3883910482371062,-0.3630085969984545,-0.4122200654556222,-0.2701289697358433,-0.17579806253232863,-0.1947233457472794,1.3394530377096039,0.13820151731376507,0.24494665240054617,-0.6192123923246515,-0.5323899870959791,-0.49865506406219295,-0.4118274392058352,-0.24189175479346106,0.9903133113441052,0.11774664860050606,0.10382392295955942,-0.14063493067315325,-0.30343744218993896,0.21344916238924944,0.4163231375099165,0.3202596456292179,1.0316464746595662,1.2206909151108638,0.6072650767277513,0.30724213468035483,0.12429398299332652,0.3797157193293846,-0.9135899420979068,-0.9492505871037601,-0.49113410123303725,0.2551826059267545,0.3294010081895594,-0.01025643802127828,-0.004684830760854459,-0.376661242745856,-0.3342397052787044,-0.690900049365318,-0.45325375682746116,-0.527975636755353,0.9425440302034509,1.6968353724804113,0.943585345299036,0.29955282106299697,-0.31170476188223106,-0.597139863818664,-0.9720672720460568,-1.0748364367493721,-0.3560914105819405,-0.7304692189012171,-1.0125589648840565,-1.4086937883587098,-0.6406046856189134,-0.1711210362540442,-0.03496480786481582,-1.210473577742954,-0.18400589299581077,-0.4970773319236367,-1.1598024165163034,-0.2526120380465004,-0.5650581896471174,-1.1565954435915529,-0.3011959126348075,-0.4756591244437613,-1.161894413866241,-0.3049043169171888,-0.23169529600696923,-0.18264875340747047,0.29007510436859196,0.29940437591419783,0.29940437591419783
S2,-0.3530703046218014,-0.5109206765361621,-0.6098165059352161,-0.6732369975612023,-0.7633040096569386,-0.3630085969984545,-0.45780298599326563,-0.5909022436016687,-0.6829958194316338,-0.6739257620843316,-0.5710902851084126,-0.5210748464572068,-0.548535063306354,-0.8226518989827674,-0.5338167220051008,-0.27780990802219885,0.11242780820829366,0.6073257144099976,-0.8102563462999296,-0.7555389361343339,-0.026752140100272083,0.41813105902487036,0.14348114837465967,0.28042819506816025,0.7277882399129426,0.0570325405917566,0.42550474566955115,0.6622071933610078,0.8285797471596805,0.9302150372451297,0.9751586764311561,0.7379552145278914,1.323773180048772,1.3468504979314178,0.9007902771047079,0.5148338352890178,1.0116784872424394,1.1282429222338262,0.8950616365549436,-0.42337808424139306,-0.4090699830391597,-0.9100785383747108,-0.45325375682746116,-0.527975636755353,-0.5728433455249108,-0.8151173028312824,-0.7946508464110962,-0.4770548857889827,1.0395557529522688,0.8399454354475436,0.22435798115045066,0.3679356373480473,0.464354924187901,0.7254152846288324,0.4225837898071612,0.31506342212376737,0.8801971847814702,-0.3235862671390124,0.36102570803864653,0.0494603143066611,-0.33405199127972696,1.8940885465468291,0.8042334903981634,1.1006893393457293,1.8267148372501751,0.7256449859553997,1.118670305473809,1.8973563100971098,0.774104020089768,2.5663654440000894,2.294627687944682,2.126886980556946,-1.3552533151508968,-1.3668530110368646,-1.3668530110368646
S3,-0.1289965925328198,-0.20416769452828595,-0.16115076826626196,0.15789988371167937,0.32693580739967615,-0.18070066045455555,-0.08314641620453708,-0.08638160128828366,0.28744377626107004,0.11300549396734676,-0.25369877586760453,2.771016337079972,2.65674553121476,0.48270538070027785,-0.06415657498552572,1.0568714892204887,1.0229034439316804,-0.25317004045127534,-0.2958078721728998,0.014764856857760151,0.1532845455388102,-0.4380177914847678,-0.08299715823311586,0.1628643542077793,-0.2696246586278358,-0.4694216731683456,-1.1121687538651264,-0.8500816759531126,-0.6849049497798689,-0.8392987150498546,-0.9250422505369639,-0.2285290058670068,0.20509162093312527,-0.07951532588126768,-0.3331676353697941,-0.6841069267714156,-0.9547699930800841,-1.0605813945063682,-0.328502130124452,2.736583331463535,2.7648031801553956,1.746972846041645,2.7046493697659755,1.272729799233891,2.482301741966651,1.7788139478273872,1.2579791729543375,0.793218400712539,-1.0073313805938824,-0.8964006407739554,-1.1922154366381519,-0.7644676968037417,-1.604543980405532,-0.6347259881875991,-0.7048991723816663,-0.8160080554797927,-0.8427181999103437,-0.28552304736846273,-0.826863227179359,-0.8049201092461075,-0.29659271232449286,-0.4970773319236367,-1.1598024165163034,-0.15868556134035727,-0.5650581896471174,-1.1565954435915529,-0.13315569401913388,-0.4756591244437613,-1.161894413866241,-0.47569563472141013,-0.4961785915933971,-0.42610462629096335,0.515789753053392,0.5279901684236047,0.5279901684236047
S4,-0.3530703046218014,-0.5109206765361621,-0.6098165059352161,-0.5336832742843777,-0.34551678998929636,-0.3630085969984545,-0.45780298599326563,-0.5727099677726423,-0.5522661940425685,-0.36746093082891756,-0.5710902851084126,-0.4610425310005688,0.2105358720971484,2.213463095450662,2.4020158642823497,1.2838367953583099,0.4351388855490855,0.7125847290211047,0.7330890760811598,1.2460688718187707,1.5044877186467764,1.5589564992932616,2.008765746752426,1.4622657021078858,0.4123512554796507,-0.4694216731683456,-0.5924946633570668,-0.8759482136151973,-0.9677454834995879,-0.4333851950811588,0.1744234546641509,0.33014826412621845,0.20509162093312527,-0.041700753617238434,-0.5696355992089787,-0.764684987473303,-0.7408606916175304,-0.19681931562752056,0.0573179429153423,-0.42337808424139306,-0.4090699830391597,0.5107177488613505,-0.45325375682746116,-0.527975636755353,-0.4353957546738442,-0.7582572993293996,-0.4095926157496279,0.0654570805967169,0.26024795886969726,0.1759561782312335,0.7436088039940421,0.5295858962651998,-0.258814494946573,0.2521113157926278,0.6064135137051817,0.034197391773018615,0.32343738896379526,-0.40128998445829916,-0.06621551993566437,-0.04907155741911606,-0.41052280064551555,-0.4970773319236367,0.7032336603049728,-0.10489378393574653,-0.5650581896471174,0.6773308640476959,-0.1068935105114255,-0.4756591244437613,0.7736104138701236,-0.05499699038302042,0.08728611440803999,0.16910978556270392,-0.2254604670622627,-0.22268893016482222,-0.22268893016482222
S5,-0.3530703046218014,-0.5109206765361621,-0.6098165059352161,-0.6744559186890589,-0.7860293576759904,-0.3630085969984545,-0.45780298599326563,-0.5909022436016687,-0.754907493997054,-0.7307192021406455,-0.5710902851084126,-0.5210748464572068,-0.548535063306354,-0.8226518989827674,-0.8249543852758328,-1.0518004706106918,-0.33828759801149516,0.9393371097585647,-0.8102563462999296,-1.1180348387188488,-1.131207963093463,-0.23970082879874788,0.2902566782899652,0.6468341297978853,0.6907705357779824,-0.4694216731683456,0.35393881864586096,1.237696029951443,1.1723862446166338,1.1092309938688132,1.0161237408436965,0.7178011997999024,1.8831139615642878,1.860663325740582,1.1890687345250763,1.121661727953637,0.9963747991615898,1.0363510478250415,1.0071426648764759,-0.42337808424139306,-0.4090699830391597,-0.9793856549925849,-0.45325375682746116,-0.527975636755353,-0.5728433455249108,-0.8151173028312824,-1.0058797190069246,-0.440774068280291,1.7246538178824715,1.620705841716346,1.2905166846326175,1.328691988395218,1.0463476130687568,1.295342625370086,1.2737177801650417,1.072476947176905,1.709620855878286,0.24490561930670307,0.19097758904980944,0.41565265664984763,0.22541975826033578,1.8940885465468291,0.8433772790704229,1.1006893393457293,1.8267148372501751,0.9256102463354065,1.1398042368210541,1.8973563100971098,0.7761959296452455,0.36583114313260146,0.5879413533422417,0.6355967697590423,-0.7712478943785154,-0.7754189029056535,-0.7754189029056535
S6,-0.3530703046218014,-0.5109206765361621,-0.6098165059352161,-0.4820757684528343,-0.5296908904172356,-0.3630085969984545,-0.45780298599326563,-0.5212514715453909,-0.4406586117351632,-0.406905988761311,-0.5710902851084126,-0.28123957555308404,-0.548535063306354,0.27176361259182413,0.34089232913687545,0.507231479589232,0.37449756422412833,0.26987251316396405,0.7330890760811598,1.6703951794192657,1.545383604371277,1.2380709883605594,0.6066695058552144,0.08008951036286659,0.558744573335235,0.0570325405917566,-0.5406352924091937,-0.18496965454012454,0.19681872170935122,0.26672870602941134,0.42375532804244653,0.5099574884716185,-0.35424916058239075,-0.14641803908583031,-0.33884119756692155,-0.34827154649980985,0.27096095877799975,0.39838670619221994,0.31442670179973,-0.42337808424139306,-0.4090699830391597,-0.436977414210256,-0.45325375682746116,-0.527975636755353,-0.5728433455249108,-0.15492839437210207,0.5945626974349341,-0.09216119107656746,0.20709628877016656,-0.2806456826139022,-0.6440135829246101,-0.7226542347417996,-0.33802006278934443,-0.14425008235758302,-0.5429450469634695,-0.5822942312426987,-0.15756936764214904,-1.2411636478480415,0.0677693586708902,-0.4984358930452036,-1.2370703716004259,-0.4970773319236367,0.7032336603049728,-0.0692832291726536,-0.5650581896471174,0.6773308640476959,-0.08721767374012436,-0.4756591244437613,0.7736104138701236,0.3318221696431788,0.5182084549643057,0.5659079858582606,-0.4497937124086403,-0.44987574755795556,-0.44987574755795556
N,-0.3530703046218014,1.642584032081984,1.9537370247635863,2.3049474797080807,2.085696961489648,2.834130151994548,2.7558700500671454,2.652369719881498,2.4427365897491864,2.5574396122390244,2.276059783432211,0.019214644514796445,-0.548535063306354,-0.8226518989827674,-0.6796062907460579,-1.0812966156890265,-2.0233141715414518,-2.472845469902592,-0.8102563462999296,-1.1180348387188488,-1.3978007510426875,-1.486509896830227,-1.8087635500405042,-2.316123850961353,-2.3557729788625155,-1.52233010068855,-1.4352094034642484,-1.7006085573615835,-1.5389272398558558,-1.5166909522521812,-1.7338996363857013,-2.2267390238323594,-0.9135899420979068,-0.9492505871037601,-0.9005236223855425,-0.8182695310929688,-1.0589860127162958,-1.254824913186952,-1.8802413659714434,-0.42337808424139306,-0.4090699830391597,-0.9793856549925849,-0.45325375682746116,2.3280499344145653,0.19119958306545026,-0.1967646798927361,-0.7404721974625362,-1.7586559165970819,-0.8747040353389877,-0.9436162346497687,-1.0453468638040668,-1.2170239453858382,-0.039612750865443185,-1.2393083442230162,-1.0967530792434443,-0.32581879569710037,-0.9277239512743727,2.0854827823403235,2.3869304022729443,2.3476055603930406,2.0367928844522334,-0.4970773319236367,-1.1598024165163034,-2.2647976590195165,-0.5650581896471174,-1.1565954435915529,-2.187551919079759,-0.4756591244437613,-1.161894413866241,-0.9692940730652759,-1.2148225614935233,-1.512326027630626,2.042333663966307,2.0175576049515462,2.0175576049515462
