date,L1,L2,L3,S1,S2,S3,S4,S5,S6,N
2022-03-21,-0.11350927482751812,1.5624118329497274,0.12385164096708581,,,,,,,-0.04857036872778678
2022-04-04,-0.1549019599857432,1.5424519473759766,-0.013228265733755157,,,,,,,-0.0623273747298266
2022-04-18,0.08990511143939797,1.698622429702098,0.3053513694466238,0.22530928172586284,0.32633586092875144,0.2329961103921538,,,,0.17270814285422353
2022-05-02,0.8806429255758644,1.6501131644435714,0.38201704257486846,0.15836249209524966,0.33845649360460484,0.36361197989214433,,,,0.6929652453639429
2022-05-16,0.6180529644628776,1.823734988398731,0.5809249756756194,0.6434526764861874,0.5865873046717549,0.7084209001347127,,,,0.8108212968466615
2022-05-30,0.4093694705092213,1.8989444668665094,0.4329692908744057,0.45178643552429026,0.41497334797081803,0.49692964807321494,,,,0.4108221310033973
2022-06-13,0.45006939076410807,1.9919345497189478,0.49276038902683744,0.5276299008713387,0.48429983934678583,0.5289167002776547,,,,0.6694795309155437
2022-06-27,0.40379787222160457,1.9322599055445175,0.4706039112706689,,0.4887036874380065,0.5222297553767226,,,,0.6329844283732371
2022-07-11,0.28923003315229723,1.9649863442456867,0.37934974106093605,,0.38310566971857746,0.4266418920855811,,,,0.46440857587348344
2022-07-25,0.2858839157552536,2.0301861261503507,0.36448684725939673,,0.3448356529245929,0.49691389550362214,,,,0.3213786239883211
2022-08-08,0.07459234622667542,1.9276570602057501,0.14890786995184946,,,,,,,0.259719206795213
2022-08-22,0.21650040834170095,1.9427899091110916,0.27478061263743236,,,,0.34006033185388634,0.38255837431564405,0.6225915593516504,0.22273289316106754
2022-09-05,0.17465441000277326,1.93198169503852,0.4217868218075951,,,,0.2570742493921155,0.36212381999326104,0.626999113399266,0.16585829637597607
2022-09-19,-0.03334971018801308,1.9200326182226028,0.3813581609299377,,,,0.2633717053330712,0.35267313068929657,0.5284040933704843,0.24265896285133967
2022-10-03,-0.02872887725959966,1.9372663832047419,0.3031491175880705,,,,0.33166546510553097,0.37619760085655907,0.5416871489824618,-0.04771254154821663
2022-10-17,0.10616073430131269,1.7644109386882203,0.2865432913238664,,,,0.22912021792686094,0.2975962688860084,0.44300271096949806,0.28327996553656287
2022-10-31,0.2686494286780341,1.6786766592452287,0.38316904871419144,,,,0.3167964743206357,0.36185230759712317,0.4221483165437414,0.5968860508167633
2022-11-14,0.369459252355972,1.7242418136264885,0.5018299334186048,,,,0.5516975261194528,0.5006385076903563,0.6947264323065432,0.8692370352509842
2022-11-28,0.34290631142882055,1.6293905635613832,0.44632686193207083,,,,0.4702474354148586,0.3278468188743713,0.5540988303242752,0.22133778185433264
2022-12-12,0.14834675812277684,1.5125915962265513,0.2301787577965397,,,,0.29085919308296493,0.10092952534687516,0.26364845199017506,-0.12664625342240515
2022-12-26,-0.07965825427391328,1.357492585929165,0.033279314258023315,,,,0.10058354334850445,0.0005890030319387332,0.31273526245265226,-0.25300892121467294
2023-01-09,-0.1660197251091186,1.359892673244992,0.0126481848953163,,,,0.004604044378020131,0.06186421340560799,0.34112501443926085,-0.3338929970276459
2023-01-23,-0.13949274857929472,1.49529580990847,0.09813682906585272,,,,0.0021533933211995426,0.174205995805125,0.35113649690833987,-0.34867725719914155
2023-02-06,-0.09161828523917721,1.6666657001789766,0.1526176457482546,,,,0.05631683577347682,0.19046387343094617,0.46065848454639524,-0.30368587000145153
2023-02-20,-0.07673502963110389,1.7626697771445308,0.12022824532893084,,,,0.06836630789305609,0.12142074604800521,0.5610923103473835,-0.21359870348794538
2023-03-06,-0.08360433031261372,1.6658321113853904,0.026767567191076414,,,,-0.09930782141103488,0.12733206740891975,0.35225258378030394,-0.09309810441260968
