id,longterm,x,y
L1,true,399289.4617,4.437131039e6
L2,true,395959.816,4.43821719e6
L3,true,395509.3451,4.441089962e6
S1,false,394212.6845,4.438048953e6
S2,false,395454.4686,4.439746426e6
S3,false,396759.1285,4.437607718e6
S4,false,396455.8403,4.439089045e6
S5,false,395957.9675,4.440385012e6
S6,false,395246.1839,4.438864354e6
N,true,382983.3277,4.434519115e6
